Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2026-01-16 09:30:00-05:00,257.8800048828125,258.8999938964844,256.4601135253906,256.80999755859375,11278805,0.0,0.0,AAPL
2026-01-16 10:30:00-05:00,256.80999755859375,256.9200134277344,256.05999755859375,256.4399108886719,2790833,0.0,0.0,AAPL
2026-01-16 11:30:00-05:00,256.426513671875,256.6300048828125,255.82000732421875,255.8300018310547,2796717,0.0,0.0,AAPL
2026-01-16 12:30:00-05:00,255.8300018310547,256.08990478515625,254.92999267578125,256.0299987792969,3606144,0.0,0.0,AAPL
2026-01-16 13:30:00-05:00,256.0299987792969,257.1499938964844,255.9149932861328,256.0,2811980,0.0,0.0,AAPL
2026-01-16 14:30:00-05:00,256.0,256.9700012207031,255.94000244140625,256.17999267578125,2648818,0.0,0.0,AAPL
2026-01-16 15:30:00-05:00,256.1700134277344,256.4725036621094,255.1300048828125,255.47999572753906,3511559,0.0,0.0,AAPL
2026-01-20 09:30:00-05:00,252.50999450683594,254.7899932861328,250.85000610351562,251.61570739746094,9087553,0.0,0.0,AAPL
2026-01-20 10:30:00-05:00,251.63999938964844,252.1300048828125,250.69000244140625,251.30499267578125,3367134,0.0,0.0,AAPL
2026-01-20 11:30:00-05:00,251.3000030517578,251.58999633789062,250.35000610351562,250.55999755859375,2677257,0.0,0.0,AAPL
2026-01-20 12:30:00-05:00,250.52000427246094,250.6999969482422,249.0800018310547,249.19500732421875,2979236,0.0,0.0,AAPL
2026-01-20 13:30:00-05:00,249.17999267578125,249.22999572753906,247.4199981689453,247.45249938964844,3351984,0.0,0.0,AAPL
2026-01-20 14:30:00-05:00,247.4499969482422,248.17999267578125,245.0800018310547,245.4600067138672,5956327,0.0,0.0,AAPL
2026-01-20 15:30:00-05:00,245.4600067138672,246.92999267578125,243.4199981689453,246.69000244140625,10059596,0.0,0.0,AAPL
2026-01-21 09:30:00-05:00,248.7100067138672,248.75,246.0800018310547,247.57000732421875,7234453,0.0,0.0,AAPL
2026-01-21 10:30:00-05:00,247.57000732421875,248.72000122070312,246.8300018310547,247.3000030517578,3802636,0.0,0.0,AAPL
2026-01-21 11:30:00-05:00,247.30999755859375,247.36000061035156,245.19000244140625,245.8300018310547,3522106,0.0,0.0,AAPL
2026-01-21 12:30:00-05:00,245.82009887695312,246.47000122070312,245.5800018310547,245.8800048828125,2014674,0.0,0.0,AAPL
2026-01-21 13:30:00-05:00,245.8800048828125,247.33999633789062,245.5,247.1103057861328,2357430,0.0,0.0,AAPL
2026-01-21 14:30:00-05:00,247.1300048828125,251.55999755859375,247.10000610351562,248.38279724121094,7875948,0.0,0.0,AAPL
2026-01-21 15:30:00-05:00,248.38999938964844,248.5800018310547,246.83999633789062,247.6300048828125,4345116,0.0,0.0,AAPL
2026-01-22 09:30:00-05:00,249.1999969482422,250.7799072265625,248.38499450683594,250.1300048828125,7300630,0.0,0.0,AAPL
2026-01-22 10:30:00-05:00,250.14999389648438,250.16000366210938,249.0,249.6999053955078,3165743,0.0,0.0,AAPL
