Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
2025-10-24 09:30:00-04:00,257.29998779296875,262.510009765625,256.1000061035156,261.1499938964844,5691820,0.0,0.0,GOOG
2025-10-24 10:30:00-04:00,261.1499938964844,261.4649963378906,259.6499938964844,261.2349853515625,2223302,0.0,0.0,GOOG
2025-10-24 11:30:00-04:00,261.260009765625,261.6300048828125,260.6300048828125,261.4150085449219,1411885,0.0,0.0,GOOG
2025-10-24 12:30:00-04:00,261.4100036621094,262.2200012207031,261.0,261.80999755859375,1467413,0.0,0.0,GOOG
2025-10-24 13:30:00-04:00,261.7929992675781,262.25,261.57501220703125,262.0,1139624,0.0,0.0,GOOG
2025-10-24 14:30:00-04:00,262.0400085449219,262.1300048828125,261.1000061035156,261.2438049316406,1122818,0.0,0.0,GOOG
2025-10-24 15:30:00-04:00,261.2200012207031,261.34259033203125,260.29998779296875,260.5150146484375,2671214,0.0,0.0,GOOG
2025-10-27 09:30:00-04:00,265.364990234375,267.3399963378906,264.94000244140625,265.6400146484375,5470537,0.0,0.0,GOOG
2025-10-27 10:30:00-04:00,265.6400146484375,267.1700134277344,265.0400085449219,267.07000732421875,2353304,0.0,0.0,GOOG
2025-10-27 11:30:00-04:00,267.07000732421875,267.80499267578125,266.8299865722656,267.58740234375,2056353,0.0,0.0,GOOG
2025-10-27 12:30:00-04:00,267.6300048828125,268.45989990234375,267.3301086425781,268.32000732421875,1714036,0.0,0.0,GOOG
2025-10-27 13:30:00-04:00,268.3299865722656,269.7699890136719,268.260009765625,269.4599914550781,2143246,0.0,0.0,GOOG
2025-10-27 14:30:00-04:00,269.4849853515625,270.260009765625,268.6000061035156,268.8399963378906,2138145,0.0,0.0,GOOG
2025-10-27 15:30:00-04:00,268.8349914550781,270.70001220703125,268.6300048828125,269.8399963378906,2831943,0.0,0.0,GOOG
2025-10-28 09:30:00-04:00,269.989990234375,271.3800048828125,267.5299987792969,268.0199890136719,5376066,0.0,0.0,GOOG
2025-10-28 10:30:00-04:00,268.0199890136719,268.4671936035156,267.2200012207031,268.0,2329834,0.0,0.0,GOOG
2025-10-28 11:30:00-04:00,267.9905090332031,268.1600036621094,267.1700134277344,267.739990234375,1805470,0.0,0.0,GOOG
2025-10-28 12:30:00-04:00,267.75,268.9104919433594,267.4200134277344,268.772705078125,2182660,0.0,0.0,GOOG
2025-10-28 13:30:00-04:00,268.7528991699219,269.05999755859375,268.5,268.831787109375,1509673,0.0,0.0,GOOG
2025-10-28 14:30:00-04:00,268.8299865722656,268.8900146484375,268.0,268.739990234375,1566796,0.0,0.0,GOOG
2025-10-28 15:30:00-04:00,268.75,268.8999938964844,268.0899963378906,268.44000244140625,2616932,0.0,0.0,GOOG
2025-10-29 09:30:00-04:00,268.6050109863281,270.9599914550781,268.42999267578125,269.9599914550781,4212983,0.0,0.0,GOOG
2025-10-29 10:30:00-04:00,269.9700012207031,271.7749938964844,269.6000061035156,271.239990234375,2694614,0.0,0.0,GOOG
2025-10-29 11:30:00-04:00,271.25,273.1499938964844,271.1600036621094,272.6050109863281,2126909,0.0,0.0,GOOG
2025-10-29 12:30:00-04:00,272.6000061035156,272.980712890625,272.30999755859375,272.8699951171875,1489061,0.0,0.0,GOOG
2025-10-29 13:30:00-04:00,272.8699035644531,274.1199951171875,272.8399963378906,273.9400939941406,2202197,0.0,0.0,GOOG
2025-10-29 14:30:00-04:00,274.010009765625,274.3999938964844,271.8800048828125,273.7160949707031,3123174,0.0,0.0,GOOG
2025-10-29 15:30:00-04:00,273.70001220703125,275.9200134277344,273.55499267578125,275.8299865722656,3193325,0.0,0.0,GOOG
2025-10-30 09:30:00-04:00,291.8699951171875,291.8999938964844,280.45001220703125,289.6650085449219,20814507,0.0,0.0,GOOG
2025-10-30 10:30:00-04:00,289.6199951171875,290.67138671875,288.95001220703125,289.39801025390625,7895300,0.0,0.0,GOOG
